case_id,case_type
996,單純原被告各一
997,單純原被告各一
998,單純原被告各一
999,單純原被告各一
1000,單純原被告各一
1001,單純原被告各一
1002,單純原被告各一
1003,單純原被告各一
1004,單純原被告各一
1005,單純原被告各一
1006,單純原被告各一
1007,單純原被告各一
1008,單純原被告各一
1009,單純原被告各一
1010,單純原被告各一
1011,單純原被告各一
1012,單純原被告各一
1013,單純原被告各一
1014,單純原被告各一
1015,單純原被告各一
1016,單純原被告各一
1017,單純原被告各一
1018,單純原被告各一
1019,單純原被告各一
1020,單純原被告各一+§188僱用人案型
1021,單純原被告各一
1022,單純原被告各一
1023,單純原被告各一
1024,單純原被告各一
1025,單純原被告各一
1026,單純原被告各一
1027,單純原被告各一
1028,單純原被告各一
1029,單純原被告各一
1030,單純原被告各一
1031,數名原告+§188僱用人案型
1032,單純原被告各一
1033,單純原被告各一
1034,單純原被告各一
1035,數名被告+§188僱用人案型
1036,單純原被告各一
1037,單純原被告各一
1038,單純原被告各一
1039,單純原被告各一
1040,單純原被告各一
1041,單純原被告各一
1042,單純原被告各一
1043,單純原被告各一
1044,單純原被告各一
1045,單純原被告各一
1046,單純原被告各一
1047,單純原被告各一
1048,單純原被告各一
1049,數名原告
1050,單純原被告各一
1051,單純原被告各一
1052,單純原被告各一
1053,單純原被告各一
1054,原被告皆數名+§188僱用人案型
1055,單純原被告各一+§188僱用人案型
1056,單純原被告各一
1057,單純原被告各一
1058,單純原被告各一
1059,單純原被告各一
1060,數名原告
1061,單純原被告各一
1062,單純原被告各一
1063,單純原被告各一
1064,單純原被告各一
1065,單純原被告各一
1066,單純原被告各一
1067,單純原被告各一
1068,單純原被告各一
1069,單純原被告各一
1070,數名原告
1071,單純原被告各一
1072,數名被告+§188僱用人案型
1073,單純原被告各一
1074,單純原被告各一
1075,單純原被告各一
1076,單純原被告各一
1077,單純原被告各一
1078,單純原被告各一+§188僱用人案型
1079,單純原被告各一
1080,單純原被告各一
1081,單純原被告各一
1082,數名被告+§188僱用人案型
1083,單純原被告各一
1084,單純原被告各一+§188僱用人案型
1085,數名被告+§188僱用人案型
1086,單純原被告各一
1087,單純原被告各一
1088,單純原被告各一
1089,單純原被告各一
1090,單純原被告各一
1091,單純原被告各一
1092,單純原被告各一
1093,單純原被告各一
1094,數名被告+§188僱用人案型
1095,單純原被告各一
1096,數名被告
1097,單純原被告各一
1098,數名被告+§188僱用人案型
1099,單純原被告各一+§188僱用人案型
1100,單純原被告各一
1101,單純原被告各一
1102,單純原被告各一
1103,數名被告
1104,數名被告+§188僱用人案型
1105,數名原告
1106,數名原告
1107,單純原被告各一
1108,單純原被告各一
1109,單純原被告各一
1110,單純原被告各一
1111,單純原被告各一
1112,單純原被告各一
1113,單純原被告各一
1114,單純原被告各一
1115,單純原被告各一
1116,單純原被告各一
1117,單純原被告各一
1118,原被告皆數名+§188僱用人案型
1119,單純原被告各一
1120,單純原被告各一
1121,單純原被告各一
1122,單純原被告各一
1123,單純原被告各一
1124,單純原被告各一
1125,單純原被告各一
1126,單純原被告各一
1127,單純原被告各一
1128,單純原被告各一
1129,單純原被告各一
1130,單純原被告各一
1131,單純原被告各一
1132,單純原被告各一
1133,單純原被告各一
1134,單純原被告各一
1135,單純原被告各一
1136,單純原被告各一
1137,單純原被告各一
1138,單純原被告各一
1139,單純原被告各一
1140,單純原被告各一
1141,單純原被告各一
1142,單純原被告各一
1143,單純原被告各一
1144,單純原被告各一
1145,單純原被告各一
1146,單純原被告各一
1147,單純原被告各一
1148,數名被告+§188僱用人案型
1149,單純原被告各一
